1,1,1,2,719,5
2,1,1,2,714,5
4,1,1,2,729,5
3,1,1,2,730,5
5,1,1,2,738,5
17,1,1,1,697,5
15,1,1,1,695,5
16,1,1,1,696,5
14,1,1,1,692,5
6,1,1,2,743,5
18,1,1,1,694,5
13,1,1,1,693,5
37,1,3,4,1868,1
39,1,2,4,1867,1
32,1,3,4,1870,5
35,1,3,4,1869,5
33,1,2,4,1871,5
40,1,2,4,1865,5
41,2,4,1,1307,1
42,2,4,1,1309,1
43,2,4,1,1312,1
44,2,4,1,1311,1
45,2,4,1,1310,1
46,2,4,1,1344,1
47,2,5,2,1893,1
48,2,5,2,1892,1
49,2,5,2,1896,1
50,2,5,2,1895,1
51,2,5,2,1894,1
52,2,5,2,1897,1
57,2,7,4,3831,1
58,2,7,4,3817,1
59,2,7,4,3828,1
60,2,7,4,3827,1
61,2,7,4,3829,1
62,2,7,4,3832,1
53,2,6,3,1882,1
54,2,6,3,1880,1
55,2,6,3,1883,1
56,2,6,3,1881,1
20,1,1,3,2858,5
19,1,1,3,2857,5
23,1,1,3,2855,5
22,1,1,3,2859,5
21,1,1,3,2860,5
38,1,1,3,2856,3
